"DINÁMICA","CARACTERIZ","MODALIDAD","DÍA_SEMAN","MES_DEL_HE","FRANJA_HORARIA","ZONA","ESTRATO_GRUPO"
"Hurto","HURTO DE MOTOCICLETAS","ATRACO","lunes","enero","Noche","Nor-Oriente","Bajo"
"Hurto","HURTO DE MOTOCICLETAS","ATRACO","domingo","enero","Noche","Nor-Oriente","Medio-bajo"
"Hurto","HURTO DE MOTOCICLETAS","ATRACO","viernes","enero","Noche","Nor-Oriente","Bajo"
"Hurto","HURTO A CELULARES","ATRACO","martes","enero","Mañana","Distrito Agua Blanca","Bajo"
"Hurto","HURTO DE VEHICULOS","HALADO","viernes","enero","Tarde","Sur","Bajo"
"Hurto","HURTO DE MOTOCICLETAS","HALADO","sábado","enero","Tarde","Nor-Occidente","Medio-bajo"
"Hurto","HURTO DE MOTOCICLETAS","ATRACO","lunes","enero","Tarde","Oriente","Medio-bajo"
"Hurto","HURTO DE MOTOCICLETAS","ATRACO","martes","enero","Tarde","Oriente","Medio-bajo"
"Hurto","HURTO  A ESTABLECIMIENTOS","FACTOR DE OPORTUNIDAD","martes","enero","Tarde","Sur","Medio"
"Hurto","HURTO A PERSONAS","ATRACO","domingo","enero","Madrugada","Nor-Occidente","Bajo"
"Hurto","HURTO A PERSONAS","ATRACO","sábado","enero","Tarde","Sur","Alto"
"Hurto","HURTO A PERSONAS","ATRACO","jueves","enero","Tarde","Sur","Medio-alto"
"Hurto","HURTO A PERSONAS","ATRACO","viernes","enero","Tarde","Nor-Occidente","Medio"
"Hurto","HURTO A RESIDENCIA","VIOLACION DE CERRADURA","sábado","enero","Madrugada","Sur","Medio-bajo"
"Hurto","HURTO A PERSONAS","ATRACO","martes","enero","Madrugada","Distrito Agua Blanca","Bajo"
"Hurto","HURTO A PERSONAS","ATRACO","sábado","enero","Noche","Nor-Oriente","Medio-bajo"
"Hurto","HURTO A PERSONAS","ATRACO","domingo","enero","Madrugada","Nor-Occidente","Medio-alto"
"Hurto","HURTO A PERSONAS","ATRACO","sábado","enero","Noche","Distrito Agua Blanca","Bajo-bajo"
"Hurto","HURTO A PERSONAS","ATRACO","jueves","enero","Tarde","Distrito Agua Blanca","Bajo-bajo"
"Hurto","HURTO A PERSONAS","VIOLACION DE CERRADURA","jueves","enero","Mañana","Distrito Agua Blanca","Bajo-bajo"
"Hurto","HURTO A RESIDENCIA","ATRACO","sábado","enero","Noche","Distrito Agua Blanca","Bajo"
"Hurto","HURTO A PERSONAS","ATRACO","miércoles","enero","Madrugada","Oriente","Bajo"
"Hurto","HURTO A PERSONAS","RAPONAZO","jueves","enero","Tarde","Oriente","Medio-bajo"
"Hurto","HURTO A PERSONAS","ATRACO","viernes","enero","Madrugada","Nor-Oriente","Medio-bajo"
"Hurto","HURTO A PERSONAS","ATRACO","jueves","enero","Mañana","Nor-Occidente","Alto"
"Hurto","HURTO A CELULARES","ATRACO","jueves","enero","Madrugada","Sur","Medio"
"Hurto","HURTO A PERSONAS","ATRACO","jueves","enero","Mañana","Distrito Agua Blanca","Bajo"
"Hurto","HURTO A PERSONAS","ATRACO","jueves","enero","Noche","Sur","Medio-alto"
"Hurto","HURTO A PERSONAS","COSQUILLEO","jueves","enero","Mañana","Nor-Occidente","Medio-bajo"
"Hurto","HURTO A PERSONAS","COSQUILLEO","jueves","enero","Tarde","Nor-Occidente","Medio-alto"
"Hurto","HURTO A PERSONAS","COSQUILLEO","viernes","enero","Mañana","Distrito Agua Blanca","Bajo-bajo"
"Hurto","HURTO A PERSONAS","ATRACO","viernes","enero","Tarde","Nor-Oriente","Bajo"
"Hurto","HURTO DE MOTOCICLETAS","ATRACO","jueves","enero","Noche","Nor-Oriente","Bajo"
"Hurto","HURTO A CELULARES","RAPONAZO","jueves","enero","Noche","Nor-Oriente","Medio-bajo"
"Hurto","HURTO A CELULARES","ATRACO","jueves","enero","Mañana","Oriente","Bajo"
"Hurto","HURTO A PERSONAS","ATRACO","miércoles","enero","Noche","Sur","Medio"
"Hurto","HURTO A PERSONAS","ATRACO","jueves","enero","Mañana","Distrito Agua Blanca","Bajo"
"Hurto","HURTO A PERSONAS","ATRACO","jueves","enero","Tarde","Sur","Medio"
"Hurto","HURTO A PERSONAS","ATRACO","jueves","enero","Tarde","Nor-Oriente","Medio-bajo"
"Hurto","HURTO  A ESTABLECIMIENTOS","FACTOR DE OPORTUNIDAD","viernes","enero","Mañana","Nor-Occidente","Medio-bajo"
"Hurto","HURTO A PERSONAS","RAPONAZO","viernes","enero","Mañana","Distrito Agua Blanca","Bajo-bajo"
"Hurto","HURTO A CELULARES","COSQUILLEO","jueves","enero","Tarde","Distrito Agua Blanca","Medio-bajo"
"Hurto","HURTO A PERSONAS","ATRACO","miércoles","enero","Mañana","Nor-Occidente","Bajo"
"Hurto","HURTO A RESIDENCIA","ENGAÑO","jueves","enero","Tarde","Nor-Oriente","Medio-bajo"
"Hurto","HURTO A PERSONAS","ATRACO","viernes","enero","Mañana","Nor-Occidente","Bajo"
"Hurto","HURTO A PERSONAS","ATRACO","viernes","enero","Mañana","Sur","Bajo"
"Hurto","HURTO A PERSONAS","ATRACO","viernes","enero","Mañana","Sur","Medio-alto"
"Hurto","HURTO A CELULARES","ATRACO","miércoles","enero","Noche","Distrito Agua Blanca","Bajo-bajo"
"Hurto","HURTO A PERSONAS","ATRACO","viernes","enero","Madrugada","Oriente","Bajo"
"Hurto","HURTO A CELULARES","FACTOR DE OPORTUNIDAD","miércoles","enero","Madrugada","Nor-Oriente","Medio-bajo"
"Hurto","HURTO A PERSONAS","RAPONAZO","viernes","enero","Mañana","Sur","Medio-alto"
"Hurto","HURTO A CELULARES","RAPONAZO","viernes","enero","Mañana","Nor-Occidente","Medio-bajo"
"Hurto","HURTO A CELULARES","ATRACO","jueves","enero","Noche","Nor-Oriente","Medio-bajo"
"Hurto","HURTO A PERSONAS","ATRACO","viernes","enero","Mañana","Sur","Medio-bajo"
"Hurto","HURTO DE AUTOPARTES","FACTOR DE OPORTUNIDAD","miércoles","enero","Mañana","Nor-Occidente","Medio-bajo"
"Hurto","HURTO A CELULARES","ATRACO","jueves","enero","Noche","Nor-Occidente","Medio-bajo"
"Hurto","HURTO A CELULARES","FACTOR DE OPORTUNIDAD","viernes","enero","Tarde","Nor-Occidente","Medio-bajo"
"Hurto","HURTO A CELULARES","ATRACO","viernes","enero","Tarde","Sur","Medio-alto"
"Hurto","HURTO A CELULARES","COSQUILLEO","miércoles","enero","Tarde","Sur","Medio-bajo"
"Hurto","HURTO A PERSONAS","ATRACO","jueves","enero","Noche","Sur","Medio-alto"
"Hurto","HURTO  A ESTABLECIMIENTOS","VIOLACION DE CERRADURA","martes","enero","Madrugada","Nor-Oriente","Bajo"
"Hurto","HURTO DE MOTOCICLETAS","HALADO","martes","enero","Noche","Distrito Agua Blanca","Bajo"
"Hurto","HURTO DE MOTOCICLETAS","ATRACO","viernes","enero","Noche","Nor-Occidente","Medio-alto"
"Hurto","HURTO DE MOTOCICLETAS","ATRACO","sábado","enero","Noche","Distrito Agua Blanca","Medio-bajo"
"Hurto","HURTO DE MOTOCICLETAS","ATRACO","miércoles","enero","Madrugada","Oriente","Bajo"
"Hurto","HURTO DE MOTOCICLETAS","ATRACO","lunes","enero","Noche","Oriente","Medio-bajo"
"Hurto","HURTO DE VEHICULOS","HALADO","martes","enero","Tarde","Nor-Occidente","Medio"
"Hurto","HURTO DE MOTOCICLETAS","ATRACO","martes","enero","Noche","Nor-Oriente","Medio-bajo"
"Hurto","HURTO DE MOTOCICLETAS","ATRACO","miércoles","enero","Madrugada","Distrito Agua Blanca","Bajo-bajo"
"Hurto","HURTO DE MOTOCICLETAS","HALADO","miércoles","enero","Mañana","Distrito Agua Blanca","Bajo-bajo"
"Hurto","HURTO A PERSONAS","ATRACO","miércoles","enero","Tarde","Nor-Occidente","Medio"
